time,latitude,longitude,ugrd10m,time_run,vgrd10m,WS,WD
2023-11-28 12:00:00,0.0,24.5,-0.5272656,2023-11-27 12:00:00,0.054665525,0.5301,174.08
2023-11-28 12:00:00,0.0,25.0,0.63273436,2023-11-27 12:00:00,0.034665525,0.6337,3.14
2023-11-28 12:00:00,0.0,25.5,0.89273435,2023-11-27 12:00:00,-0.5253345,1.0358,-30.47
2023-11-28 12:00:00,0.0,26.0,0.34273437,2023-11-27 12:00:00,-1.0853344,1.1382,-72.47
2023-11-28 12:00:00,0.0,26.5,0.64273435,2023-11-27 12:00:00,-1.6453345,1.7664,-68.66
2023-11-28 12:00:00,0.0,27.0,0.70273435,2023-11-27 12:00:00,-1.0153345,1.2348,-55.31
2023-11-28 12:00:00,0.0,27.5,-0.5772656,2023-11-27 12:00:00,-1.2053344,1.3364,-115.59
2023-11-28 12:00:00,0.0,28.0,0.6827344,2023-11-27 12:00:00,-1.1553345,1.342,-59.42
2023-11-28 12:00:00,0.0,28.5,0.9127343,2023-11-27 12:00:00,-1.0353345,1.3802,-48.6
2023-11-28 12:00:00,0.0,29.0,-0.47726563,2023-11-27 12:00:00,-0.43533447,0.646,-137.63
2023-11-28 12:00:00,0.0,29.5,1.0727344,2023-11-27 12:00:00,-0.17533447,1.087,-9.28
2023-11-28 12:00:00,0.0,30.0,-0.037265625,2023-11-27 12:00:00,1.8646655,1.865,91.14
2023-11-28 12:00:00,0.0,30.5,-0.7172656,2023-11-27 12:00:00,0.5046655,0.877,144.87
2023-11-28 12:00:00,0.5,0.0,-1.7172656,2023-11-27 12:00:00,3.1746655,3.6094,118.41
2023-11-28 12:00:00,0.5,0.5,-1.2272656,2023-11-27 12:00:00,2.9846654,3.2271,112.35
2023-11-28 12:00:00,0.5,1.0,-2.0172656,2023-11-27 12:00:00,3.5846655,4.1133,119.37
2023-11-28 12:00:00,0.5,1.5,-0.8272656,2023-11-27 12:00:00,3.7846653,3.874,102.33
2023-11-28 12:00:00,0.5,2.0,-0.9572656,2023-11-27 12:00:00,3.7346654,3.8554,104.38
2023-11-28 12:00:00,0.5,2.5,-1.1772656,2023-11-27 12:00:00,3.9646654,4.1358,106.54
2023-11-28 12:00:00,0.5,3.0,-1.2072656,2023-11-27 12:00:00,4.2446656,4.413,105.88
2023-11-28 12:00:00,0.5,3.5,-1.1572655,2023-11-27 12:00:00,4.4746656,4.6219,104.5
2023-11-28 12:00:00,0.5,4.0,-1.1572655,2023-11-27 12:00:00,4.4846654,4.6316,104.47
2023-11-28 12:00:00,0.5,4.5,-1.0872656,2023-11-27 12:00:00,4.6346655,4.7605,103.2
2023-11-28 12:00:00,0.5,5.0,-0.5972656,2023-11-27 12:00:00,4.6046653,4.6432,97.39
2023-11-28 12:00:00,0.5,5.5,-1.0372657,2023-11-27 12:00:00,4.6246653,4.7396,102.64
2023-11-28 12:00:00,0.5,6.0,-0.8972656,2023-11-27 12:00:00,4.8246655,4.9074,100.54
2023-11-28 12:00:00,0.5,6.5,0.52273434,2023-11-27 12:00:00,0.7546655,0.918,55.29
2023-11-28 12:00:00,0.5,7.0,-0.6972656,2023-11-27 12:00:00,4.3946652,4.4496,99.02
